,Price,Ticker,value
0,Adj Close,AAPL,72.7960205078125
1,Adj Close,AAPL,72.0882797241211
2,Adj Close,AAPL,72.66271209716797
3,Adj Close,AAPL,72.32097625732422
4,Adj Close,AAPL,73.48434448242188
5,Adj Close,AAPL,75.04522705078125
6,Adj Close,AAPL,75.21488952636719
7,Adj Close,AAPL,76.82179260253906
8,Adj Close,AAPL,75.78443908691406
9,Adj Close,AAPL,75.45967864990234
10,Adj Close,AAPL,76.40489959716797
11,Adj Close,AAPL,77.25079345703125
12,Adj Close,AAPL,76.72726440429688
13,Adj Close,AAPL,77.00115966796875
14,Adj Close,AAPL,77.37198638916016
15,Adj Close,AAPL,77.14898681640625
16,Adj Close,AAPL,74.88041687011719
17,Adj Close,AAPL,76.99871063232422
18,Adj Close,AAPL,78.61050415039062
19,Adj Close,AAPL,78.4965591430664
20,Adj Close,AAPL,75.01615142822266
21,Adj Close,AAPL,74.81012725830078
22,Adj Close,AAPL,77.27986145019531
23,Adj Close,AAPL,77.91004180908203
24,Adj Close,AAPL,78.82135009765625
25,Adj Close,AAPL,77.74996948242188
26,Adj Close,AAPL,78.11924743652344
27,Adj Close,AAPL,77.64790344238281
28,Adj Close,AAPL,79.49187469482422
29,Adj Close,AAPL,78.92581939697266
30,Adj Close,AAPL,78.94525146484375
31,Adj Close,AAPL,77.49972534179688
32,Adj Close,AAPL,78.62213134765625
33,Adj Close,AAPL,77.81555938720703
34,Adj Close,AAPL,76.05419158935547
35,Adj Close,AAPL,72.44158935546875
36,Adj Close,AAPL,69.98783874511719
37,Adj Close,AAPL,71.09809875488281
38,Adj Close,AAPL,66.4505386352539
39,Adj Close,AAPL,66.41167449951172
40,Adj Close,AAPL,72.59465026855469
41,Adj Close,AAPL,70.28910064697266
42,Adj Close,AAPL,73.5494155883789
43,Adj Close,AAPL,71.16371154785156
44,Adj Close,AAPL,70.2186508178711
45,Adj Close,AAPL,64.66490936279297
46,Adj Close,AAPL,69.32218170166016
47,Adj Close,AAPL,66.9145736694336
48,Adj Close,AAPL,60.30644989013672
49,Adj Close,AAPL,67.53164672851562
50,Adj Close,AAPL,58.84391403198242
51,Adj Close,AAPL,61.43128204345703
52,Adj Close,AAPL,59.92744827270508
53,Adj Close,AAPL,59.46829605102539
54,Adj Close,AAPL,55.69291305541992
55,Adj Close,AAPL,54.509761810302734
56,Adj Close,AAPL,59.97846984863281
57,Adj Close,AAPL,59.64806365966797
58,Adj Close,AAPL,62.78693771362305
59,Adj Close,AAPL,60.18740463256836
60,Adj Close,AAPL,61.905029296875
61,Adj Close,AAPL,61.77870178222656
62,Adj Close,AAPL,58.52808380126953
63,Adj Close,AAPL,59.50471496582031
64,Adj Close,AAPL,58.6495475769043
65,Adj Close,AAPL,63.76600646972656
66,Adj Close,AAPL,63.02745056152344
67,Adj Close,AAPL,64.6406021118164
68,Adj Close,AAPL,65.1070327758789
69,Adj Close,AAPL,66.38495635986328
70,Adj Close,AAPL,69.73758697509766
71,Adj Close,AAPL,69.10106658935547
72,Adj Close,AAPL,69.65013885498047
73,Adj Close,AAPL,68.70509338378906
74,Adj Close,AAPL,67.27899932861328
75,Adj Close,AAPL,65.19937896728516
76,Adj Close,AAPL,67.07736206054688
77,Adj Close,AAPL,66.81739807128906
78,Adj Close,AAPL,68.74637603759766
79,Adj Close,AAPL,68.79497528076172
80,Adj Close,AAPL,67.67985534667969
81,Adj Close,AAPL,69.90281677246094
82,Adj Close,AAPL,71.37748718261719
83,Adj Close,AAPL,70.22835540771484
84,Adj Close,AAPL,71.22200775146484
85,Adj Close,AAPL,72.29096984863281
86,Adj Close,AAPL,73.03681182861328
87,Adj Close,AAPL,73.7923812866211
88,Adj Close,AAPL,75.54875183105469
89,Adj Close,AAPL,76.737548828125
90,Adj Close,AAPL,75.86054992675781
91,Adj Close,AAPL,74.94463348388672
92,Adj Close,AAPL,75.40503692626953
93,Adj Close,AAPL,74.95922088623047
94,Adj Close,AAPL,76.72537231445312
95,Adj Close,AAPL,76.28201293945312
96,Adj Close,AAPL,77.76554870605469
97,Adj Close,AAPL,77.185791015625
98,Adj Close,AAPL,77.6827163696289
99,Adj Close,AAPL,77.15653991699219
100,Adj Close,AAPL,77.49270629882812
101,Adj Close,AAPL,77.52680969238281
102,Adj Close,AAPL,77.4512939453125
103,Adj Close,AAPL,78.40380096435547
104,Adj Close,AAPL,78.76675415039062
105,Adj Close,AAPL,79.20038604736328
106,Adj Close,AAPL,78.51829528808594
107,Adj Close,AAPL,80.75456237792969
108,Adj Close,AAPL,81.23201751708984
109,Adj Close,AAPL,83.79716491699219
110,Adj Close,AAPL,85.95306396484375
111,Adj Close,AAPL,81.82640838623047
112,Adj Close,AAPL,82.53286743164062
113,Adj Close,AAPL,83.55355072021484
114,Adj Close,AAPL,85.76790618896484
115,Adj Close,AAPL,85.64855194091797
116,Adj Close,AAPL,85.68264770507812
117,Adj Close,AAPL,85.19300079345703
118,Adj Close,AAPL,87.4219741821289
119,Adj Close,AAPL,89.28797912597656
120,Adj Close,AAPL,87.71187591552734
121,Adj Close,AAPL,88.87627410888672
122,Adj Close,AAPL,86.14551544189453
123,Adj Close,AAPL,88.13087463378906
124,Adj Close,AAPL,88.86656188964844
125,Adj Close,AAPL,88.6984634399414
126,Adj Close,AAPL,88.6984634399414
127,Adj Close,AAPL,91.07115936279297
128,Adj Close,AAPL,90.78858947753906
129,Adj Close,AAPL,92.90306854248047
130,Adj Close,AAPL,93.3025894165039
131,Adj Close,AAPL,93.46578216552734
