Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cabo Verde,CPV,interest rate,FR.INR.RINR,8.645325498,7.795759333,8.08633612,7.146958078,8.387679996,7.799794655,6.185881261,1.399741622,4.134759164,6.108397552
Costa Rica,CRI,interest rate,FR.INR.RINR,9.887063287,9.493883461,8.269830327,8.739207219,6.024715568,5.820520183,3.065307094,1.016618065,9.192541675,7.284339112
Caribbean small states,CSS,interest rate,FR.INR.RINR,,,,,,,,,,
Cuba,CUB,interest rate,FR.INR.RINR,,,,,,,,,,
Curacao,CUW,interest rate,FR.INR.RINR,,,,,,,,,,
Cayman Islands,CYM,interest rate,FR.INR.RINR,,,,,,,,,,
Cyprus,CYP,interest rate,FR.INR.RINR,,,,,,,,,,
Czechia,CZE,interest rate,FR.INR.RINR,3.010827112,2.380513344,1.874562619,0.708328255,-0.149541357,-1.121285341,-0.800024637,-4.091328481,-3.605148363,0.776755771
Germany,DEU,interest rate,FR.INR.RINR,,,,,,,,,,
Djibouti,DJI,interest rate,FR.INR.RINR,,,,,,,,,,
Dominica,DMA,interest rate,FR.INR.RINR,3.036278837,4.549916501,8.67554088,-0.457770451,9.007004798,9.753697483,5.257370949,6.258781101,3.767641142,3.369374317
Denmark,DNK,interest rate,FR.INR.RINR,,,,,,,,,,
Dominican Republic,DOM,interest rate,FR.INR.RINR,12.20488803,12.81058978,9.626367305,7.646026731,8.5827282,5.239187716,2.22649862,2.09839284,8.174303445,10.53155094
Algeria,DZA,interest rate,FR.INR.RINR,13.66835056,7.08263567,2.917906279,1.728749773,7.054714548,13.33987672,-6.842423631,-12.13819436,6.929071771,4.474025213
East Asia & Pacific (excluding high income),EAP,interest rate,FR.INR.RINR,,,,,,,,,,
Early-demographic dividend,EAR,interest rate,FR.INR.RINR,,,,,,,,,,
East Asia & Pacific,EAS,interest rate,FR.INR.RINR,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,interest rate,FR.INR.RINR,,,,,,,,,,
Europe & Central Asia,ECS,interest rate,FR.INR.RINR,,,,,,,,,,
Ecuador,ECU,interest rate,FR.INR.RINR,,,,,,,,,,
"Egypt, Arab Rep.",EGY,interest rate,FR.INR.RINR,1.54106846,6.922011355,-8.758194081,-2.358703013,2.199095783,4.88781543,4.366206699,0.142669652,-5.6416624,-7.030990941
Euro area,EMU,interest rate,FR.INR.RINR,,,,,,,,,,
Eritrea,ERI,interest rate,FR.INR.RINR,,,,,,,,,,
Spain,ESP,interest rate,FR.INR.RINR,,,,,,,,,,
Estonia,EST,interest rate,FR.INR.RINR,,,,,,,,,,
Ethiopia,ETH,interest rate,FR.INR.RINR,,,,,,,,,,
European Union,EUU,interest rate,FR.INR.RINR,,,,,,,,,,
Fragile and conflict affected situations,FCS,interest rate,FR.INR.RINR,,,,,,,,,,
Finland,FIN,interest rate,FR.INR.RINR,,,,,,,,,,
Fiji,FJI,interest rate,FR.INR.RINR,3.17797125,3.135430858,3.97454739,4.1918447,6.354852334,10.74539536,7.899915886,-2.444771456,2.158292748,-1.407953704
France,FRA,interest rate,FR.INR.RINR,,,,,,,,,,
Faroe Islands,FRO,interest rate,FR.INR.RINR,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,interest rate,FR.INR.RINR,22.31741454,11.46330101,7.391267082,5.95994898,18.77563452,18.922882,10.5665247,,,
Gabon,GAB,interest rate,FR.INR.RINR,,,,,,,,,,
United Kingdom,GBR,interest rate,FR.INR.RINR,,,,,,,,,,
Georgia,GEO,interest rate,FR.INR.RINR,6.748175912,10.1159781,3.662257128,7.377483629,6.558656698,4.635435104,2.06923029,5.10459322,10.26012186,6.842846228
Ghana,GHA,interest rate,FR.INR.RINR,,,,,,,,,,
Gibraltar,GIB,interest rate,FR.INR.RINR,,,,,,,,,,
Guinea,GIN,interest rate,FR.INR.RINR,,,,,,,,,,
"Gambia, The",GMB,interest rate,FR.INR.RINR,,,24.13189631,19.68012043,20.46808658,25.25839564,11.28481801,9.357836646,6.182612111,
Guinea-Bissau,GNB,interest rate,FR.INR.RINR,-8.178068285,2.509064619,-4.87503801,,,,,,,
Equatorial Guinea,GNQ,interest rate,FR.INR.RINR,,,,,,,,,,
Greece,GRC,interest rate,FR.INR.RINR,,,,,,,,,,
Grenada,GRD,interest rate,FR.INR.RINR,6.037649233,5.836425342,6.684312296,8.599878241,4.106838563,7.154646579,3.71656968,4.721109939,2.368874214,8.247663597
