Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Central Europe and the Baltics,CEB,GDP growth (annual %),GDP,4.001661791,2.807261763,5.107131791,4.953377994,4.032290638,-3.301119991,6.57225386,4.042272213,0.707363295,2.07016017
Switzerland,CHE,GDP growth (annual %),GDP,1.644627508,2.06868969,1.362799655,2.860445794,1.14198219,-2.14173712,5.559620206,3.04406103,0.683328174,1.302333325
Channel Islands,CHI,GDP growth (annual %),GDP,0.374367084,1.213024077,1.806481314,1.122243566,1.573355962,-8.896779266,9.93680137,5.341961404,3.715005904,
Chile,CHL,GDP growth (annual %),GDP,2.1519425,1.753038749,1.357695373,3.990029478,0.634367534,-6.143474792,11.31492049,2.153993562,0.521367977,2.644311549
China,CHN,GDP growth (annual %),GDP,6.978780027,6.775555628,6.891266362,6.756718002,6.068502351,2.340188431,8.570085132,3.134188872,5.414843301,4.977356592
Cote d'Ivoire,CIV,GDP growth (annual %),GDP,7.194949427,7.17275964,7.410762426,4.843146059,6.721371676,0.699728593,7.063329102,6.399883627,6.600000452,6.019534619
Cameroon,CMR,GDP growth (annual %),GDP,5.666952987,4.535794237,3.541176549,3.955514239,3.475059982,0.259932916,3.338857472,3.736784006,3.347562908,3.524723081
"Congo, Dem. Rep.",COD,GDP growth (annual %),GDP,6.359737562,0.393832798,4.241210473,6.071688706,0.555384295,0.775427992,6.429610056,9.311169441,8.533489832,6.126755518
"Congo, Rep.",COG,GDP growth (annual %),GDP,0.415193061,-8.685243439,-5.594773719,-2.304317801,1.12447392,-6.26777228,1.01507037,1.475356132,1.906864263,2.579669439
Colombia,COL,GDP growth (annual %),GDP,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.185914138,10.80119819,7.328277294,0.712380032,1.598331537
Comoros,COM,GDP growth (annual %),GDP,1.147473994,3.32039988,3.815702113,3.642595874,1.760701647,-0.195577457,2.000192118,2.603010319,2.99521564,3.338101094
Cabo Verde,CPV,GDP growth (annual %),GDP,0.936026508,4.280714827,4.55131481,3.706964583,6.947826341,-20.8052759,7.033530107,15.84367568,4.794761391,7.24388539
Costa Rica,CRI,GDP growth (annual %),GDP,3.652080968,4.204323252,4.157698963,2.615904404,2.417511818,-4.273354322,7.935762247,4.55149178,5.111921832,4.321224296
Caribbean small states,CSS,GDP growth (annual %),GDP,-0.100918344,-3.080199017,-0.745458059,1.210878666,0.87511782,-9.029163033,6.531812483,14.88510301,8.83833676,13.31292509
Cuba,CUB,GDP growth (annual %),GDP,4.438333589,0.512843096,1.809791784,2.247948529,-0.163087224,-10.9494359,1.254487357,1.774652277,-1.929371232,-1.061732732
Curacao,CUW,GDP growth (annual %),GDP,0.458151746,-1.0677077,-1.276209315,-2.10411143,-3.206131719,-18.43847035,4.183711931,6.906,4.202,5.0269
Cayman Islands,CYM,GDP growth (annual %),GDP,2.833122427,3.239973614,3.184047307,4.267265672,3.915636377,-4.954807322,4.869416554,5.77566708,5.815591826,
Cyprus,CYP,GDP growth (annual %),GDP,3.418920389,6.573590809,5.750832366,6.271663601,5.875595834,-3.220630186,11.39755908,8.273725973,3.619456446,3.940773817
Czechia,CZE,GDP growth (annual %),GDP,4.958758489,2.580870139,5.1735653,2.830305883,3.565776581,-5.304879555,4.029018321,2.847170658,0.047580331,1.23308612
Germany,DEU,GDP growth (annual %),GDP,1.663006023,2.222222163,2.797906721,1.135696046,0.977734697,-4.131914432,3.909999942,1.809258124,-0.869647579,-0.495851897
Djibouti,DJI,GDP growth (annual %),GDP,7.308985635,7.123432337,5.458091517,4.774339349,5.545080812,1.202115173,4.407156676,5.166537029,6.807335294,6.980484673
Dominica,DMA,GDP growth (annual %),GDP,-3.373382625,1.447245565,-7.544363755,2.96401061,3.948097579,-15.70640245,5.37983839,10.39680766,3.652210122,2.052738473
Denmark,DNK,GDP growth (annual %),GDP,2.104414564,3.073045492,3.056477239,1.86000749,1.711400939,-1.780106018,6.500254458,0.443832615,0.604587766,3.477835931
Dominican Republic,DOM,GDP growth (annual %),GDP,6.987711312,6.719740787,3.933861764,7.097516402,4.894030115,-7.929052342,14.01242891,5.237956529,2.192298482,4.953522045
Algeria,DZA,GDP growth (annual %),GDP,3.200000001,3.9,1.499999999,1.400000001,0.899999999,-4.999999999,3.799999999,3.600000001,4.1,3.699999999
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),GDP,6.661424659,6.510090637,6.666722306,6.537137249,5.885861018,1.345225601,7.719796469,3.54811147,5.255279864,4.961443882
Early-demographic dividend,EAR,GDP growth (annual %),GDP,4.242820224,4.136288055,4.487111351,3.607979483,2.269866656,-4.302950042,7.509998573,6.021190058,4.59507205,3.668943594
East Asia & Pacific,EAS,GDP growth (annual %),GDP,4.71876408,4.65562872,5.062127615,4.794897182,4.042970182,-0.057492466,6.344826114,2.999618497,4.205667383,3.7901055
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),GDP,3.416126727,2.783833547,6.003008998,3.761771226,2.581907824,0.276088025,9.280421045,3.079017535,5.03672042,3.982394713
Europe & Central Asia,ECS,GDP growth (annual %),GDP,2.075934522,1.905570788,2.954540452,2.159024084,1.823378615,-5.380894716,6.799659053,3.390877771,1.046374807,1.566248456
Ecuador,ECU,GDP growth (annual %),GDP,0.119692109,-0.687954246,5.97039881,1.044294607,0.165404465,-9.245096192,9.42189269,5.868423549,1.98823814,-2.001254763
"Egypt, Arab Rep.",EGY,GDP growth (annual %),GDP,4.372019078,4.346643456,4.181221,5.331108619,5.552093072,3.550164838,3.290646012,6.587845609,3.760280523,2.399169268
Euro area,EMU,GDP growth (annual %),GDP,2.143653674,1.801581128,2.622625905,1.779911309,1.62263181,-6.056744251,6.437137555,3.659219243,0.473405522,0.911910157
Eritrea,ERI,GDP growth (annual %),GDP,,,,,,,,,,
Spain,ESP,GDP growth (annual %),GDP,4.060866725,2.915155986,2.896042079,2.395411245,1.961178508,-10.94007064,6.683144205,6.370317121,2.460857968,3.455254056
Estonia,EST,GDP growth (annual %),GDP,1.838152629,3.093019208,5.63467249,3.699697562,3.726649435,-2.883807515,8.254880446,-1.226169666,-2.744219146,-0.090042865
Ethiopia,ETH,GDP growth (annual %),GDP,10.39246301,9.43348266,9.564189658,6.816147786,8.364085733,6.059530891,5.641530693,5.321759884,6.594245994,7.612774475
European Union,EUU,GDP growth (annual %),GDP,2.371953046,1.919980298,2.818110455,2.046420127,1.875246962,-5.578880557,6.377750139,3.561552332,0.454322708,1.064557898
Fragile and conflict affected situations,FCS,GDP growth (annual %),GDP,0.16730632,0.474197451,1.301845073,1.455486127,0.815291636,-7.413188353,1.530906807,1.620716636,2.145454916,2.006945022
Finland,FIN,GDP growth (annual %),GDP,0.466503766,2.571934149,3.303370036,1.192977597,1.349738457,-2.491036055,2.676346415,0.763041913,-0.93909346,0.416171965
Fiji,FJI,GDP growth (annual %),GDP,4.50120041,2.445651797,5.35336456,3.812351222,-0.581946709,-17.18353526,-4.345961999,17.74512698,9.442458567,3.530858961
France,FRA,GDP growth (annual %),GDP,1.066754748,0.860031075,2.08361486,1.645908724,2.027446464,-7.440645899,6.882337834,2.716762642,1.439214944,1.190467983
Faroe Islands,FRO,GDP growth (annual %),GDP,0.958001934,1.386447959,3.512013675,2.763709523,4.538510287,-1.63732118,5.066362916,3.860999817,3.158738723,0.843716851
"Micronesia, Fed. Sts.",FSM,GDP growth (annual %),GDP,4.433638496,0.942726462,2.175750036,0,4.081632653,-1.672941176,3.099699283,-2.905889999,0.453118221,0.718990177
Gabon,GAB,GDP growth (annual %),GDP,3.878899395,2.091442208,0.472642031,0.837916581,3.920808795,-1.837761064,1.467957315,3.037614495,2.438936651,3.394038996
United Kingdom,GBR,GDP growth (annual %),GDP,2.1404056,2.206520206,3.023222198,1.551330951,1.256298998,-10.04789664,8.543111845,5.149703885,0.271650048,1.126422671
Georgia,GEO,GDP growth (annual %),GDP,3.351023503,3.45021518,5.159902617,6.062036413,5.380719266,-6.290471785,10.64423366,10.95853214,7.832201266,9.679793875
Ghana,GHA,GDP growth (annual %),GDP,2.120759338,3.37346575,8.128894881,6.200077681,6.507774794,0.513941671,5.076466435,3.80484981,3.140090998,5.590454696
Gibraltar,GIB,GDP growth (annual %),GDP,,,,,,,,,,
Guinea,GIN,GDP growth (annual %),GDP,3.825910569,10.8206272,10.30000534,6.358491927,5.616914469,4.704590961,5.582332811,3.972407842,5.541726686,5.350046591
"Gambia, The",GMB,GDP growth (annual %),GDP,4.058073804,1.943359655,4.822611249,7.234890333,6.22205316,0.591487288,5.255968788,5.49299823,5.916795715,5.551260695
Guinea-Bissau,GNB,GDP growth (annual %),GDP,6.134089362,5.432678265,4.663679439,3.761453596,5.327495711,2.89139815,5.050558312,5.529872531,5.827495026,4.146311372
Equatorial Guinea,GNQ,GDP growth (annual %),GDP,-9.110041149,-8.816417232,-5.667508505,-6.236544067,-5.481825379,-4.791080834,0.860269956,3.223508317,-5.089308721,0.907248246
Greece,GRC,GDP growth (annual %),GDP,-0.228301892,-0.031794768,1.473124727,2.064672079,2.277180653,-9.196231497,8.65449786,5.521985806,2.13591132,2.086574338
Grenada,GRD,GDP growth (annual %),GDP,6.445223147,3.739603956,4.438675669,4.361440394,0.676511739,-13.75662226,4.697724023,7.31023807,4.526574975,3.963325164
Greenland,GRL,GDP growth (annual %),GDP,-2.529318024,4.68195411,0.052728183,0.623065429,2.832177568,0.250789762,1.63409411,2.004555809,0.865961987,
Guatemala,GTM,GDP growth (annual %),GDP,4.092170816,2.677802776,3.079851269,3.406873483,4.01789785,-1.785551751,8.041703782,4.184518172,3.533157518,3.651863829
Guam,GUM,GDP growth (annual %),GDP,0.825688073,0.181983621,0.890099909,-0.828231905,2.523602033,-10.51885957,2.058183257,5.099864262,,
Guyana,GUY,GDP growth (annual %),GDP,0.687404591,3.807456264,3.734491546,4.440912885,5.352840035,43.47965172,20.05999756,63.33463437,33.79501112,43.8193108
