Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Central Europe and the Baltics,CEB,inflation,FP.CPI.TOTL.ZG,-0.464499005,-0.054999542,2.075935537,2.534454242,2.664561334,1.672440969,3.839844915,14.60814395,9.442841401,2.757609094
Switzerland,CHE,inflation,FP.CPI.TOTL.ZG,-1.143908672,-0.434618664,0.53378784,0.936335464,0.36288618,-0.725874933,0.581814168,2.835027986,2.13540088,1.06234042
Channel Islands,CHI,inflation,FP.CPI.TOTL.ZG,,,,,,,,,,
Chile,CHL,inflation,FP.CPI.TOTL.ZG,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,3.045490848,4.524568383,11.64386671,7.581682514,4.297638916
China,CHN,inflation,FP.CPI.TOTL.ZG,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895,0.981015136,1.973575557,0.234836829,0.218128938
Cote d'Ivoire,CIV,inflation,FP.CPI.TOTL.ZG,1.251499548,0.723178458,0.685881065,0.401297817,0.790855512,2.412526172,4.159196579,5.233528561,4.369722549,3.450530281
Cameroon,CMR,inflation,FP.CPI.TOTL.ZG,2.676235314,0.874190383,0.64040915,1.068858113,2.452802141,2.437608822,2.271857625,6.247677133,7.382813843,4.533313497
"Congo, Dem. Rep.",COD,inflation,FP.CPI.TOTL.ZG,0.744198995,2.885851073,,,,,,,,
"Congo, Rep.",COG,inflation,FP.CPI.TOTL.ZG,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058,1.795371471,1.715642755,3.043443347,4.301745636,3.091436309
Colombia,COL,inflation,FP.CPI.TOTL.ZG,4.989831158,7.513460246,4.314313257,3.240569329,3.523019327,2.526635001,3.495057574,10.17723135,11.73590449,6.609085937
Comoros,COM,inflation,FP.CPI.TOTL.ZG,-0.117173884,0.797517431,-0.237362224,2.151550844,3.582135445,0.786641929,-0.004417937,12.53203146,8.373739555,5.051926096
Cabo Verde,CPV,inflation,FP.CPI.TOTL.ZG,0.131187999,-1.407816371,0.784415251,1.256995667,1.106666743,0.605795808,1.862152975,7.930929254,3.724375177,1.048170011
Costa Rica,CRI,inflation,FP.CPI.TOTL.ZG,0.801982005,-0.017478851,1.62590693,2.221114615,2.096046353,0.724911478,1.726477551,8.274774902,0.525193509,-0.412853001
Caribbean small states,CSS,inflation,FP.CPI.TOTL.ZG,-0.852705497,0.402621697,1.699295705,1.207157934,1.00054293,0.121434645,2.228913307,5.828386385,4.477208687,2.569218904
